text,is_palindrome
bV,0
poiVg,0
fLBcbfnoG,0
bJmTPSIAoC,0
rZaWZkSBvr,0
nWv,0
fy,0
ww,1
qZcUDIhyfJ,0
ONxKm,0
cQ,0
Xsfo,0
yr,0
OxkxwnQr,0
MO,0
IUp,0
Dyr,0
oRuXXdo c,0
zrenKT,0
nPFzPD,0
qip,0
IqVLBLzxo,0
GFf,0
h,1
OkY,0
MeyyMDH,0
JaRUh,0
WrXPvhsBk,0
aUUqGWlG,0
Ot,0
MmjxWkIXH,0
M,1
FbhxZt,0
dpKf,0
UF,0
WI,0
iQE,0
kqHMBnIWU,0
TtzQ,0
CHChpo,0
vb,0
JoLoaeTOdo,0
cv,0
Gp,0
QFnIi,0
KEpYEZAmgg,0
wBADUdR,0
dz,0
ZgpmmI,0
iBlrDpeC,0
gdPIafWpk,0
FEnzdky,0
y,1
YYDsB,0
QTFjmsndL,0
dVuddLEGH,0
dGf,0
eMe,1
zhKp,0
McNfAQLKHu,0
nQTup,0
ziQPt,0
uWeaDNKg,0
In,0
qiwepxskC,0
TtNZPHaQ ,0
tQgiqhgVJ,0
rsM,0
TvnR,0
GFqdf,0
rcavXiO,0
kVCJT,0
JaheSjI,0
x,1
JjBictxYcw,0
RpQg,0
XJANVj,0
kZZl,0
blVvYAZ,0
rkYS,0
yc,0
om Dwt Y,0
obQm,0
vreXrwP,0
zRIvbhqlL,0
cgMBw,0
BMGhyK,0
qcTB,0
H,1
RUVVQmxBe,0
NuQhUt,0
tQAuzSsJi,0
AQyR,0
NKt,0
JatsnBY,0
MPuDCCRnGE,0
Qfs,0
QONvf WpR,0
oZmjb,0
p,1
